OpenTime,Open,High,Low,Close,TickVolume
2020-07-02 01:00:00.0000000,10298.05,10344.95,10289.55,10332.45,32155
2020-07-02 05:00:00.0000000,10332.15,10390.45,10310.65,10384.15,26292
2020-07-02 09:00:00.0000000,10384.45,10430.45,10339.45,10397.95,108755
2020-07-02 13:00:00.0000000,10397.45,10414.25,10327.65,10357.95,72010
2020-07-02 17:00:00.0000000,10359.55,10372.45,10349.95,10367.05,12114
2020-07-02 21:00:00.0000000,10367.05,10381.75,10350.45,10359.55,24638
2020-07-03 01:00:00.0000000,10359.85,10399.25,10353.25,10386.85,29446
2020-07-03 05:00:00.0000000,10386.85,10391.35,10351.85,10353.35,19893
2020-07-03 09:00:00.0000000,10353.55,10367.95,10319.35,10339.75,29707
2020-07-05 17:00:00.0000000,10372.05,10429.05,10370.45,10428.55,14878
2020-07-05 21:00:00.0000000,10428.75,10513.95,10428.75,10497.75,35589
2020-07-06 01:00:00.0000000,10497.85,10513.85,10481.65,10491.65,42005
2020-07-06 05:00:00.0000000,10491.65,10502.85,10473.65,10499.85,21112
2020-07-06 09:00:00.0000000,10499.85,10624.65,10476.85,10594.35,98674
2020-07-06 13:00:00.0000000,10594.45,10614.85,10529.35,10608.35,82093
2020-07-06 17:00:00.0000000,10613.15,10674.35,10604.25,10669.55,15640
2020-07-06 21:00:00.0000000,10669.05,10674.35,10596.55,10613.05,39534
2020-07-07 01:00:00.0000000,10613.05,10623.05,10548.45,10558.75,38032
2020-07-07 05:00:00.0000000,10558.45,10585.05,10540.05,10583.25,28219
2020-07-07 09:00:00.0000000,10583.25,10704.45,10567.85,10646.75,98755
2020-07-07 13:00:00.0000000,10646.55,10652.25,10516.15,10536.35,83940
2020-07-07 17:00:00.0000000,10538.05,10579.25,10535.85,10566.55,17470
2020-07-07 21:00:00.0000000,10567.25,10582.05,10522.45,10528.25,34005
2020-07-08 01:00:00.0000000,10528.25,10595.25,10515.45,10572.75,37599
2020-07-08 05:00:00.0000000,10572.95,10594,10534.45,10576.75,28008
2020-07-08 09:00:00.0000000,10576.55,10649.9,10523.05,10636.55,108374
2020-07-08 13:00:00.0000000,10636.75,10683.55,10571.95,10681.95,86233
2020-07-08 17:00:00.0000000,10696.95,10704.35,10671.75,10684.25,13561
2020-07-08 21:00:00.0000000,10684.25,10693.75,10655.65,10682.75,29280
2020-07-09 01:00:00.0000000,10682.75,10698.35,10656.75,10692.65,35421
2020-07-09 05:00:00.0000000,10692.15,10748.95,10685.65,10737.65,24694
2020-07-09 09:00:00.0000000,10737.55,10757.35,10571.05,10694.15,117126
2020-07-09 13:00:00.0000000,10694.15,10783.25,10682.55,10735.45,89643
2020-07-09 17:00:00.0000000,10741.65,10767.45,10712.45,10721.55,15787
2020-07-09 21:00:00.0000000,10721.65,10733.95,10689.25,10692.45,32927
2020-07-10 01:00:00.0000000,10692.45,10721.05,10661.35,10700.25,48031
2020-07-10 05:00:00.0000000,10700.25,10751.05,10683.55,10733.85,35220
2020-07-10 09:00:00.0000000,10734.05,10760.75,10637.05,10751.85,113496
2020-07-10 13:00:00.0000000,10752.05,10858.3,10745.05,10853.4,69687
2020-07-12 17:00:00.0000000,10869.05,10919.45,10861.45,10902.55,24213
2020-07-12 21:00:00.0000000,10902.55,10910.65,10882.15,10890.05,29300
2020-07-13 01:00:00.0000000,10890.05,10927.65,10877.65,10895.55,35647
2020-07-13 05:00:00.0000000,10895.55,10962.65,10884.45,10947.65,28411
2020-07-13 09:00:00.0000000,10947.65,11069.05,10940.95,10977.25,108665
2020-07-13 13:00:00.0000000,10978.25,11026.25,10574.65,10609.85,114249
2020-07-13 17:00:00.0000000,10636.85,10671.75,10631.05,10655.15,23220
2020-07-13 21:00:00.0000000,10655.75,10670.65,10622.25,10635.35,36757
2020-07-14 01:00:00.0000000,10635.35,10704.25,10597.75,10648.7,49413
2020-07-14 05:00:00.0000000,10648.95,10685.35,10514.75,10521.55,49325
2020-07-14 09:00:00.0000000,10521.05,10640.45,10371.15,10539.25,132176
2020-07-14 13:00:00.0000000,10539.25,10700.05,10500.55,10654.05,101028
2020-07-14 17:00:00.0000000,10740.95,10749.05,10709.75,10729.55,22543
2020-07-14 21:00:00.0000000,10729.55,10735.55,10672.65,10704.75,30811
2020-07-15 01:00:00.0000000,10704.95,10723.15,10682.35,10699.3,37950
2020-07-15 05:00:00.0000000,10699.1,10765.4,10678.6,10735.85,53920
2020-07-15 09:00:00.0000000,10735.35,10777.95,10562.55,10655.65,130141
2020-07-15 13:00:00.0000000,10655.95,10720.65,10628.95,10698.75,83224
2020-07-15 17:00:00.0000000,10697.85,10707.75,10615.45,10626.25,21740
2020-07-15 21:00:00.0000000,10626.05,10648.45,10585.75,10616.85,40096
2020-07-16 01:00:00.0000000,10616.75,10627.75,10533.25,10548.45,44862
2020-07-16 05:00:00.0000000,10548.45,10576.05,10496.65,10567.05,38530
2020-07-16 09:00:00.0000000,10566.05,10610.05,10486.55,10568.65,110997
2020-07-16 13:00:00.0000000,10568.85,10656.05,10516.55,10544.35,75401
2020-07-16 17:00:00.0000000,10538.75,10597.55,10533.45,10596.55,11116
2020-07-16 21:00:00.0000000,10596.65,10617.55,10570.95,10600.75,28912
2020-07-17 01:00:00.0000000,10600.75,10628.15,10576.45,10622.45,29449
2020-07-17 05:00:00.0000000,10622.55,10638.95,10605.45,10629.15,25059
2020-07-17 09:00:00.0000000,10628.65,10667.95,10548.65,10617.15,87509
2020-07-17 13:00:00.0000000,10617.45,10678.55,10598.35,10633.45,62776
2020-07-19 17:00:00.0000000,10650.85,10666.65,10640.15,10646.15,13654
2020-07-19 21:00:00.0000000,10646.15,10648.15,10562.65,10594.75,32689
2020-07-20 01:00:00.0000000,10594.75,10619.15,10556.85,10613.85,33432
2020-07-20 05:00:00.0000000,10613.85,10684.85,10613.85,10676.85,25917
2020-07-20 09:00:00.0000000,10677.15,10842.15,10616.25,10841.35,92863
2020-07-20 13:00:00.0000000,10841.75,10970.85,10837.35,10958.05,58890
